id,name,sectype,currency,exchange,minvol,maxvol,meanvol,medianvol
186,AGBA,,,,0.0479779,0.989029,0.128024,0.0885958
187,AGBAR,,,,2.16137,4.62359,3.42787,3.48341
188,AGBAW,,,,,,,
189,AGC,,,,,,,
190,AGCO,,,,0.0906076,1.97728,0.40167,0.347814
191,AGCUU,,,,0.167896,0.445549,0.261111,0.201036
192,AGD,,,,0.0595891,1.46992,0.241333,0.171135
193,AGE,,,,0.569056,2.77555,1.26116,1.10088
194,AGEN,,,,0.20994,3.90578,0.763121,0.642975
195,AGFS,,,,0.112715,2.07304,0.684377,0.553123
196,AGG,,,,0.0155259,0.30584,0.0444454,0.0367627
197,AGGP,,,,0.0151411,0.0947357,0.0355403,0.0339477
198,AGGY,,,,0.0210018,0.23599,0.0407817,0.0333034
199,AGI,,,,,,,
200,AGIO,,,,0.203136,1.38237,0.640552,0.600269
201,AGLE,,,,0.336695,1.83599,0.692897,0.653814
202,AGM,,,,0.101256,4.49395,0.496128,0.366022
203,AGM.A,,,,,,,
204,AGM-C,,,,,,,
205,AGM-D,,,,,,,
206,AGM-E,,,,,,,
207,AGM-F,,,,,,,
208,AGMH,,,,0.164333,2.24644,0.900418,0.82182
209,AGNC,,,,0.0615001,1.34213,0.234696,0.173694
210,AGNCM,,,,0.0316312,1.81875,0.233213,0.0742808
211,AGNCN,,,,,,,
212,AGNCO,,,,0.0607203,1.98185,0.361459,0.154125
213,AGNCP,,,,,,,
214,AGO,,,,0.0836256,1.98835,0.418413,0.293601
215,AGO-B,,,,,,,
216,AGO-E,,,,,,,
217,AGO-F,,,,,,,
218,AGQ,,,,0.195189,5.69525,0.630165,0.493989
219,AGR,,,,0.0893142,1.06339,0.208104,0.174642
220,AGRO,,,,,,,
221,AGRX,,,,0.294428,4.8632,0.976081,0.666938
222,AGS,,,,0.216812,3.74107,0.760561,0.44119
223,AGT,,,,0.113391,0.907785,0.3165,0.268872
224,AGTC,,,,0.276788,2.31192,0.737225,0.664318
225,AGX,,,,0.147601,1.62753,0.41905,0.378452
226,AGYS,,,,0.143688,2.1839,0.492114,0.422867
227,AGZ,,,,0.0110788,0.775593,0.0354747,0.0243186
228,AGZD,,,,0.0113001,0.189549,0.0401958,0.0353758
229,AHAC,,,,,,,
